Model,R²,MAE,RMSE
Ridge Regression,0.8371103492496258,55135.351050314704,73717.91555001299
Random Forest,0.9159232383123918,38236.84907579488,52961.98921417476
XGBoost,0.9768868529162409,20287.05026418298,27768.718761693985
