iter	Passed	Remaining
402	12998	19255
403	13033	19227
404	13070	19203
405	13104	19173
406	13131	19133
407	13158	19092
408	13191	19061
409	13216	19019
410	13246	18982
411	13275	18947
412	13305	18910
413	13338	18880
414	13373	18852
415	13405	18818
416	13435	18784
417	13471	18756
418	13508	18731
419	13540	18698
420	13577	18672
421	13605	18634
422	13636	18601
423	13669	18569
424	13707	18544
425	13739	18512
426	13768	18476
427	13797	18439
428	13835	18414
429	13876	18394
430	13910	18363
431	13938	18326
432	13975	18300
433	14009	18270
434	14046	18244
435	14074	18206
436	14107	18175
437	14138	18140
438	14172	18111
439	14207	18082
440	14245	18057
441	14285	18034
442	14314	17997
443	14352	17972
444	14386	17942
445	14419	17911
446	14455	17883
447	14483	17846
448	14517	17815
449	14548	17781
450	14573	17739
451	14604	17706
452	14629	17665
453	14660	17630
454	14691	17597
455	14728	17570
456	14756	17533
457	14796	17509
458	14824	17472
459	14858	17443
460	14902	17424
461	14930	17386
462	14962	17353
463	14992	17318
464	15019	17280
465	15052	17249
466	15086	17218
467	15120	17188
468	15160	17164
469	15190	17129
470	15216	17090
471	15247	17056
472	15278	17022
473	15315	16996
474	15345	16960
475	15386	16937
476	15421	16908
477	15450	16872
478	15484	16842
479	15514	16807
480	15541	16769
481	15569	16732
482	15599	16697
483	15629	16662
484	15661	16630
485	15686	16590
486	15720	16559
487	15751	16526
488	15778	16488
489	15806	16451
490	15836	16416
491	15873	16389
492	15903	16354
493	15944	16332
494	15972	16295
495	16004	16262
496	16033	16226
497	16061	16190
498	16095	16159
499	16127	16127
500	16158	16093
501	16190	16061
502	16218	16024
503	16259	16001
504	16302	15979
505	16338	15951
506	16376	15924
507	16402	15886
508	16428	15847
509	16454	15809
510	16483	15774
511	16517	15743
512	16547	15709
513	16578	15674
514	16603	15636
515	16632	15600
516	16667	15571
517	16691	15531
518	16720	15495
519	16747	15458
520	16771	15419
521	16804	15387
522	16830	15350
523	16858	15314
524	16886	15278
525	16917	15244
526	16946	15210
527	16974	15174
528	16998	15135
529	17028	15100
530	17056	15064
531	17090	15034
532	17116	14997
533	17143	14960
534	17176	14928
535	17209	14897
536	17239	14863
537	17270	14830
538	17304	14800
539	17333	14765
540	17369	14736
541	17397	14701
542	17428	14668
543	17456	14632
544	17488	14600
545	17516	14565
546	17541	14527
547	17569	14491
548	17597	14456
549	17622	14418
550	17655	14387
551	17678	14347
552	17703	14309
553	17733	14276
554	17761	14241
555	17798	14213
556	17836	14185
557	17868	14153
558	17899	14120
559	17924	14083
560	17958	14052
561	17986	14018
562	18018	13986
563	18054	13957
564	18087	13926
565	18115	13890
566	18147	13858
567	18174	13822
568	18202	13787
569	18228	13751
570	18260	13719
571	18298	13691
572	18331	13661
573	18370	13633
574	18401	13600
575	18434	13569
576	18463	13535
577	18492	13501
578	18530	13473
579	18563	13442
580	18590	13407
581	18620	13373
582	18650	13339
583	18679	13306
584	18711	13274
585	18745	13243
586	18776	13210
587	18803	13175
588	18828	13138
589	18856	13103
590	18887	13071
591	18916	13036
592	18950	13006
593	18982	12974
594	19012	12941
595	19042	12908
596	19073	12875
597	19107	12844
598	19132	12808
599	19163	12775
600	19195	12743
601	19225	12710
602	19257	12678
603	19285	12644
604	19321	12615
605	19354	12583
606	19389	12553
607	19420	12521
608	19452	12489
609	19481	12455
610	19513	12423
611	19541	12388
612	19574	12357
613	19604	12324
614	19643	12297
615	19674	12264
616	19708	12233
617	19738	12201
618	19774	12171
619	19804	12138
620	19836	12106
621	19868	12074
622	19903	12044
623	19935	12012
624	19966	11979
625	19994	11945
626	20031	11916
627	20062	11883
628	20098	11854
629	20144	11830
630	20187	11805
631	20227	11777
632	20262	11747
633	20299	11718
634	20335	11689
635	20366	11656
636	20395	11622
637	20425	11589
638	20457	11557
639	20493	11527
640	20529	11498
641	20564	11467
642	20594	11434
643	20626	11401
644	20660	11371
645	20696	11341
646	20722	11305
647	20754	11274
648	20782	11239
649	20808	11204
650	20847	11176
651	20885	11147
652	20913	11113
653	20955	11086
654	20992	11057
655	21026	11026
656	21054	10992
657	21084	10958
658	21112	10924
659	21142	10891
660	21178	10861
661	21208	10828
662	21236	10794
663	21267	10761
664	21303	10731
665	21337	10700
666	21374	10671
667	21405	10638
668	21438	10606
669	21475	10577
670	21505	10544
671	21535	10511
672	21563	10477
673	21593	10444
674	21626	10412
675	21665	10383
676	21702	10354
677	21730	10320
678	21762	10288
679	21792	10255
680	21830	10225
681	21864	10194
682	21905	10166
683	21935	10134
684	21970	10103
685	22004	10072
686	22035	10039
687	22062	10005
688	22088	9970
689	22122	9939
690	22156	9907
691	22183	9873
692	22210	9839
693	22246	9808
694	22279	9777
695	22315	9747
696	22347	9714
697	22376	9681
698	22409	9649
699	22437	9616
700	22466	9582
701	22503	9552
702	22547	9525
703	22582	9494
704	22611	9461
705	22645	9430
706	22678	9398
707	22717	9369
708	22752	9338
709	22784	9306
710	22819	9275
711	22855	9244
712	22887	9212
713	22927	9183
714	22962	9152
715	22996	9121
716	23025	9088
717	23050	9053
718	23077	9019
719	23110	8987
720	23142	8955
721	23169	8921
722	23205	8890
723	23234	8857
724	23267	8825
725	23296	8792
726	23323	8758
727	23356	8726
728	23382	8692
729	23413	8659
730	23441	8626
731	23465	8591
732	23492	8557
733	23523	8524
734	23555	8492
735	23585	8460
736	23623	8430
737	23657	8398
738	23688	8366
739	23721	8334
740	23750	8301
741	23781	8268
742	23812	8236
743	23838	8202
744	23865	8168
745	23897	8136
746	23925	8103
747	23954	8070
748	23979	8035
749	24014	8004
750	24046	7972
751	24072	7938
752	24096	7904
753	24124	7870
754	24149	7836
755	24172	7801
756	24205	7770
757	24259	7745
758	24306	7717
759	24364	7694
760	24404	7664
761	24452	7637
762	24492	7607
763	24548	7583
764	24583	7551
765	24627	7523
766	24659	7490
767	24689	7458
768	24720	7425
769	24756	7394
770	24787	7362
771	24823	7331
772	24853	7298
773	24886	7266
774	24917	7234
775	24954	7203
776	24990	7172
777	25022	7139
778	25056	7108
779	25089	7076
780	25121	7044
781	25152	7011
782	25183	6979
783	25209	6945
784	25244	6914
785	25268	6879
786	25297	6846
787	25328	6814
788	25360	6781
789	25390	6749
790	25419	6716
791	25450	6684
792	25482	6651
793	25512	6619
794	25547	6587
795	25575	6554
796	25603	6521
797	25633	6488
798	25664	6456
799	25687	6421
800	25719	6389
801	25757	6359
802	25785	6326
803	25811	6292
804	25844	6260
805	25876	6228
806	25911	6196
807	25941	6164
808	25976	6132
809	26011	6101
810	26047	6070
811	26081	6038
812	26116	6007
813	26156	5976
814	26184	5943
815	26218	5912
816	26252	5880
817	26282	5847
818	26317	5816
819	26359	5786
820	26399	5755
821	26440	5725
822	26474	5693
823	26512	5662
824	26548	5631
825	26577	5598
826	26607	5565
827	26642	5534
828	26671	5501
829	26709	5470
830	26739	5438
831	26768	5405
832	26801	5373
833	26833	5340
834	26859	5307
835	26886	5274
836	26922	5242
837	26961	5212
838	26998	5180
839	27030	5148
840	27062	5116
841	27101	5085
842	27137	5054
843	27167	5021
844	27207	4990
845	27235	4957
846	27270	4926
847	27305	4894
848	27341	4862
849	27374	4830
850	27411	4799
851	27450	4768
852	27484	4736
853	27519	4704
854	27551	4672
855	27583	4640
856	27616	4608
857	27649	4576
858	27681	4543
859	27712	4511
860	27748	4479
861	27785	4448
862	27823	4416
863	27856	4384
864	27887	4352
865	27920	4320
866	27954	4288
867	27993	4257
868	28027	4225
869	28059	4192
870	28084	4159
871	28117	4127
872	28152	4095
873	28190	4064
874	28229	4032
875	28262	4000
876	28292	3968
877	28333	3937
878	28364	3904
879	28404	3873
880	28441	3841
881	28468	3808
882	28511	3777
883	28550	3746
884	28581	3713
885	28611	3681
886	28644	3649
887	28676	3616
888	28711	3584
889	28744	3552
890	28769	3519
891	28799	3486
892	28830	3454
893	28859	3421
894	28891	3389
895	28926	3357
896	28968	3326
897	29004	3294
898	29043	3262
899	29078	3230
900	29114	3199
901	29148	3166
902	29184	3135
903	29217	3102
904	29250	3070
905	29288	3038
906	29323	3006
907	29360	2974
908	29392	2942
909	29433	2910
910	29465	2878
911	29499	2846
912	29530	2813
913	29566	2781
914	29593	2749
915	29622	2716
916	29652	2683
917	29679	2651
918	29708	2618
919	29742	2586
920	29776	2554
921	29809	2521
922	29840	2489
923	29869	2456
924	29896	2424
925	29918	2390
926	29949	2358
927	29974	2325
928	30006	2293
929	30036	2260
930	30059	2227
931	30095	2195
932	30125	2163
933	30160	2131
934	30188	2098
935	30211	2065
936	30246	2033
937	30270	2000
938	30298	1968
939	30323	1935
940	30356	1903
941	30395	1871
942	30430	1839
943	30460	1806
944	30490	1774
945	30516	1741
946	30543	1709
947	30572	1676
948	30601	1644
949	30635	1612
950	30668	1580
951	30694	1547
952	30720	1515
953	30750	1482
954	30778	1450
955	30810	1418
956	30849	1386
957	30885	1354
958	30915	1321
959	30952	1289
960	30986	1257
961	31010	1224
962	31042	1192
963	31072	1160
964	31106	1128
965	31147	1096
966	31167	1063
967	31194	1031
968	31223	998
969	31257	966
970	31286	934
971	31322	902
972	31355	870
973	31388	837
974	31419	805
975	31459	773
976	31497	741
977	31533	709
978	31566	677
979	31599	644
980	31636	612
981	31665	580
982	31691	548
983	31719	515
984	31746	483
985	31781	451
986	31812	419
987	31848	386
988	31881	354
989	31911	322
990	31939	290
991	31969	257
992	31999	225
993	32026	193
994	32061	161
995	32091	128
996	32126	96
997	32153	64
998	32175	32
999	32203	0
